Combination,Wins,Losses,Total Games,Win Rate
"('Lee Sin', 'Naafiri', 'Nautilus', 'Rumble', 'Senna')",1,0,1,1.0
"('Akshan', 'Corki', 'Leona', 'Renekton', 'Taliyah')",1,0,1,1.0
"('Akali', 'Corki', 'Fiora', 'Lee Sin', 'Nautilus')",1,0,1,1.0
"('Orianna', 'Smolder', 'Thresh', 'Urgot', 'Wukong')",2,0,2,1.0
"('LeBlanc', 'Nami', 'Smolder', 'Teemo', 'Xin Zhao')",1,0,1,1.0
"('LeBlanc', 'Lux', ""Rek'Sai"", 'Ryze', 'Varus')",2,0,2,1.0
"('Ahri', 'Ashe', ""K'Sante"", 'Kindred', 'Senna')",3,0,3,1.0
"('Cassiopeia', 'Jhin', 'Rakan', 'Xin Zhao', 'Yasuo')",3,0,3,1.0
"('Ashe', 'Nidalee', 'Pantheon', 'Rell', 'Twisted Fate')",1,0,1,1.0
"('Graves', 'Jhin', 'Neeko', 'Twisted Fate', 'Udyr')",2,0,2,1.0
"('Akshan', 'Camille', 'Gragas', 'Graves', 'Varus')",1,0,1,1.0
"('Jax', ""Kai'Sa"", 'LeBlanc', ""Rek'Sai"", 'Rell')",2,0,2,1.0
"('Kennen', 'Nautilus', 'Taliyah', 'Varus', 'Yone')",2,0,2,1.0
"('Jhin', 'Kindred', 'Rumble', 'Sett', 'Tristana')",1,0,1,1.0
"(""Bel'Veth"", 'Irelia', 'Lissandra', 'Lucian', 'Poppy')",1,0,1,1.0
"('Alistar', 'Aphelios', 'Illaoi', 'Lee Sin', 'Swain')",1,0,1,1.0
"('Katarina', 'Lee Sin', 'Lulu', 'Skarner', 'Zeri')",1,0,1,1.0
"('Alistar', 'Ashe', 'Kennen', 'Lillia', 'Riven')",1,0,1,1.0
"('Ashe', 'Hwei', ""K'Sante"", 'Nidalee', 'Thresh')",1,0,1,1.0
"('Blitzcrank', 'Camille', 'Hwei', 'Jinx', 'Kindred')",2,0,2,1.0
"('Ahri', 'Alistar', ""Kai'Sa"", ""Kha'Zix"", 'Kled')",2,0,2,1.0
"('Kalista', 'Kled', 'Lee Sin', 'Thresh', 'Xerath')",1,0,1,1.0
"('Ashe', 'Aurelion Sol', 'Kled', 'Lee Sin', 'Morgana')",1,0,1,1.0
"('Aphelios', 'Kled', 'Nautilus', 'Rumble', 'Zed')",1,0,1,1.0
"(""Kai'Sa"", 'Lee Sin', 'Tryndamere', 'Twisted Fate', 'Zac')",2,0,2,1.0
"(""Kai'Sa"", 'Kled', 'Rakan', ""Rek'Sai"", 'Riven')",1,0,1,1.0
"('Corki', 'Kindred', 'LeBlanc', 'Rell', 'Tryndamere')",2,0,2,1.0
"('Jayce', 'Jhin', 'Nasus', 'Neeko', 'Nidalee')",3,0,3,1.0
"('Anivia', 'Kled', 'Seraphine', 'Taliyah', 'Varus')",1,0,1,1.0
"('Draven', 'Graves', 'Rell', 'Taliyah', 'Tryndamere')",2,0,2,1.0
"('Akshan', 'Rakan', 'Sivir', 'Skarner', 'Wukong')",1,0,1,1.0
"('Galio', 'Jax', 'Kalista', 'Sylas', 'Viego')",1,0,1,1.0
"('Brand', 'Darius', 'Jinx', 'Lulu', 'Talon')",1,0,1,1.0
"('Elise', 'Kalista', 'Nautilus', 'Riven', 'Talon')",1,0,1,1.0
"('Ahri', 'Graves', 'Kalista', 'Senna', 'Skarner')",1,0,1,1.0
"('Gnar', 'Kalista', 'Rumble', 'Sona', 'Tryndamere')",1,0,1,1.0
"('Aurelion Sol', 'Neeko', 'Talon', 'Varus', 'Vayne')",2,0,2,1.0
"('Ahri', 'Lee Sin', 'Rell', 'Shen', 'Zeri')",1,0,1,1.0
"('Aurelion Sol', 'Bard', 'Heimerdinger', 'Sivir', 'Viego')",1,0,1,1.0
"('Hwei', 'Kalista', 'Lee Sin', 'Neeko', 'Rumble')",1,0,1,1.0
"('Alistar', 'Aurelion Sol', 'Camille', 'Corki', 'Xin Zhao')",1,0,1,1.0
"('Galio', 'Jax', 'Nautilus', 'Viego', 'Zeri')",1,0,1,1.0
"('Cassiopeia', 'Draven', 'Skarner', 'Thresh', 'Viego')",1,0,1,1.0
"('Aurelion Sol', 'Camille', 'Nunu & Willump', 'Samira', 'Urgot')",1,0,1,1.0
"('Master Yi', 'Nautilus', 'Rumble', 'Senna', 'Zoe')",2,0,2,1.0
"('Alistar', 'Lillia', ""Rek'Sai"", 'Riven', 'Varus')",1,0,1,1.0
"('Hwei', 'Jayce', 'Kindred', 'Lucian', 'Pyke')",1,0,1,1.0
"('Camille', 'Lucian', 'Nidalee', 'Rakan', 'Yone')",1,0,1,1.0
"('Blitzcrank', 'Corki', 'Kalista', 'Karthus', 'Rumble')",1,0,1,1.0
"('Janna', 'Jhin', 'Lillia', 'Malphite', 'Tristana')",2,0,2,1.0
"('Aphelios', 'Corki', 'Maokai', 'Tahm Kench', 'Udyr')",1,0,1,1.0
"('Graves', 'Jhin', 'Lux', 'Singed', 'Skarner')",3,0,3,1.0
"('Aphelios', 'Hecarim', 'Hwei', 'Lulu', 'Rumble')",1,0,1,1.0
"('Fiddlesticks', 'Nautilus', 'Twisted Fate', 'Varus', 'Yone')",1,0,1,1.0
"('Alistar', 'Rumble', 'Tristana', 'Varus', 'Viego')",2,0,2,1.0
"('Ahri', 'Blitzcrank', 'Varus', 'Viego', 'Vladimir')",1,0,1,1.0
"('Graves', 'Olaf', 'Pyke', 'Syndra', 'Zeri')",2,0,2,1.0
"('Ashe', 'Jayce', 'Lillia', 'Rumble', 'Zed')",1,0,1,1.0
"('Aphelios', 'Gragas', 'Pantheon', 'Taliyah', 'Thresh')",1,0,1,1.0
"('Ashe', 'Graves', 'Jax', 'Lissandra', 'Rakan')",1,0,1,1.0
"('Ezreal', ""K'Sante"", ""Kha'Zix"", 'Taric', 'Yasuo')",1,0,1,1.0
"('Ashe', 'Jax', 'Ryze', 'Seraphine', 'Warwick')",1,0,1,1.0
"('Aatrox', 'Graves', 'LeBlanc', 'Rell', 'Varus')",1,0,1,1.0
"('Qiyana', 'Rell', 'Samira', 'Taliyah', 'Twisted Fate')",1,0,1,1.0
"('Aphelios', 'Gwen', 'Orianna', 'Shaco', 'Thresh')",1,0,1,1.0
"('Annie', 'Corki', ""K'Sante"", 'Master Yi', 'Zac')",1,0,1,1.0
"('Aphelios', 'Lee Sin', 'Lillia', 'Rakan', 'Viego')",1,0,1,1.0
"('Aphelios', ""Rek'Sai"", 'Rumble', 'Thresh', 'Twisted Fate')",1,0,1,1.0
"('Alistar', 'Cassiopeia', 'Fiddlesticks', 'Kalista', 'Yone')",1,0,1,1.0
"('Aphelios', 'Hecarim', 'Mordekaiser', 'Thresh', 'Zoe')",1,0,1,1.0
"('Corki', 'Gwen', 'Jinx', 'Thresh', 'Urgot')",1,0,1,1.0
"('Ahri', 'Kindred', 'Lucian', 'Nami', 'Viego')",1,0,1,1.0
"('Aphelios', 'Ashe', ""K'Sante"", ""Rek'Sai"", 'Zoe')",1,0,1,1.0
"(""Bel'Veth"", 'Corki', 'Kled', 'Malzahar', 'Taric')",1,0,1,1.0
"('Aatrox', 'Aurelion Sol', 'Caitlyn', 'Poppy', 'Skarner')",2,0,2,1.0
"('Corki', 'Elise', 'Nautilus', 'Renekton', 'Senna')",1,0,1,1.0
"('Corki', 'Hwei', 'Irelia', 'Seraphine', 'Skarner')",1,0,1,1.0
"('Blitzcrank', 'Corki', 'Jax', ""K'Sante"", 'Zoe')",2,0,2,1.0
"('Graves', 'Lucian', 'Nami', 'Pantheon', 'Syndra')",1,0,1,1.0
"('Aatrox', 'Camille', 'Corki', 'Ekko', 'Irelia')",2,0,2,1.0
"('Jhin', 'Nidalee', 'Poppy', 'Renekton', 'Zed')",1,0,1,1.0
"('Corki', 'Nautilus', 'Senna', 'Skarner', 'Taliyah')",1,0,1,1.0
"('Graves', 'Hwei', 'Nautilus', 'Senna', 'Skarner')",1,0,1,1.0
"('Jinx', 'Katarina', 'Lee Sin', 'Rumble', 'Soraka')",1,0,1,1.0
"('Annie', 'Corki', 'Nasus', 'Poppy', 'Xin Zhao')",2,0,2,1.0
"('Aatrox', 'Cassiopeia', 'Graves', 'Pyke', 'Twisted Fate')",1,0,1,1.0
"('Alistar', 'Jinx', 'Taliyah', 'Warwick', 'Yasuo')",2,0,2,1.0
"('Ashe', 'Katarina', 'Lee Sin', 'Milio', 'Skarner')",2,0,2,1.0
"('Alistar', 'Annie', 'Ashe', 'Kindred', 'Tahm Kench')",2,0,2,1.0
"('Alistar', 'Jayce', 'Jinx', 'Lillia', 'Mordekaiser')",2,0,2,1.0
"('Ashe', 'Cassiopeia', 'Orianna', 'Rakan', 'Viego')",1,0,1,1.0
"('Ahri', 'Ashe', 'Rakan', 'Rumble', 'Xin Zhao')",1,0,1,1.0
"('Lee Sin', 'Rakan', 'Sivir', 'Skarner', 'Viktor')",1,0,1,1.0
"('Graves', ""Kai'Sa"", 'Ornn', 'Rakan', 'Twisted Fate')",1,0,1,1.0
"('Ahri', 'Graves', 'Heimerdinger', 'Jax', 'Rakan')",1,0,1,1.0
"('Ashe', 'Fiddlesticks', 'Jayce', 'Lee Sin', 'Rakan')",1,0,1,1.0
"('Corki', 'Dr. Mundo', 'Rakan', 'Taliyah', 'Zeri')",1,0,1,1.0
"('Ahri', ""K'Sante"", ""Kai'Sa"", 'Lee Sin', 'Rakan')",1,0,1,1.0
"('Corki', 'Gnar', 'Lucian', 'Nidalee', 'Rakan')",2,0,2,1.0
"('Gragas', 'Miss Fortune', 'Rakan', ""Rek'Sai"", 'Twisted Fate')",1,0,1,1.0
"('Alistar', 'Ashe', 'Galio', 'Kennen', 'Viego')",1,0,1,1.0
"('Aatrox', 'Alistar', 'Diana', 'Draven', 'Graves')",1,0,1,1.0
"('Aphelios', 'Gangplank', 'Irelia', 'Master Yi', 'Rakan')",2,0,2,1.0
"('Camille', 'Hwei', 'Kalista', 'Rumble', 'Xin Zhao')",1,0,1,1.0
"('Jax', ""K'Sante"", 'Rumble', 'Smolder', 'Zoe')",1,0,1,1.0
"('Graves', 'Hwei', 'Katarina', 'Ornn', 'Varus')",2,0,2,1.0
"('Hwei', 'Nilah', 'Senna', 'Viego', 'Zac')",1,0,1,1.0
"('Akali', 'Alistar', 'Fiora', 'Lee Sin', 'Xayah')",3,0,3,1.0
"('Hwei', 'Jayce', 'Rakan', 'Viego', 'Zeri')",2,0,2,1.0
"('Rakan', 'Sett', 'Vi', 'Zeri', 'Zoe')",2,0,2,1.0
"('Ashe', 'Rakan', 'Rumble', 'Skarner', 'Talon')",1,0,1,1.0
"('Ashe', 'Irelia', 'Lulu', 'Twisted Fate', 'Viego')",1,0,1,1.0
"('Aurelion Sol', 'Bard', 'Jayce', 'Jhin', 'Rammus')",1,0,1,1.0
"('Fiddlesticks', 'Hwei', 'Jayce', ""Kai'Sa"", 'Zoe')",1,0,1,1.0
"('Aatrox', 'Blitzcrank', 'Jayce', 'Lillia', 'Samira')",1,0,1,1.0
"('Aatrox', 'Galio', 'Rell', 'Samira', 'Viego')",1,0,1,1.0
"('Hwei', 'Jayce', 'Jinx', ""Kha'Zix"", 'Rakan')",1,0,1,1.0
"('Ashe', 'Jarvan IV', 'Rakan', 'Rumble', 'Vex')",1,0,1,1.0
"('Gragas', 'Rakan', 'Viego', 'Yasuo', 'Zeri')",1,0,1,1.0
"('Graves', ""Kai'Sa"", 'Rakan', 'Taliyah', 'Twisted Fate')",1,0,1,1.0
"('Gangplank', 'Graves', ""Kai'Sa"", 'Orianna', 'Rakan')",2,0,2,1.0
"('Akali', 'Graves', 'Poppy', 'Rakan', 'Varus')",2,0,2,1.0
"('Gnar', 'Lee Sin', 'Lucian', 'Rakan', 'Twisted Fate')",1,0,1,1.0
"('Ashe', 'Fiora', 'Hwei', ""Kha'Zix"", 'Rakan')",3,0,3,1.0
"('Fiora', 'Graves', ""Kai'Sa"", 'Rakan', 'Viktor')",2,0,2,1.0
"('Akali', 'Aurelion Sol', 'Jhin', 'Lee Sin', 'Rakan')",3,0,3,1.0
"('Brand', 'Camille', 'Rakan', 'Varus', 'Vi')",1,0,1,1.0
"(""Kai'Sa"", 'Neeko', 'Rakan', 'Vayne', 'Warwick')",1,0,1,1.0
"('Graves', 'Hwei', 'Rakan', 'Sion', 'Zeri')",2,0,2,1.0
"('Aatrox', 'Draven', 'Lee Sin', 'Malzahar', 'Renata Glasc')",1,0,1,1.0
"('Aphelios', 'Jayce', 'Lulu', 'Taliyah', 'Zoe')",1,0,1,1.0
"('Gragas', 'Irelia', 'Nautilus', 'Tristana', 'Zeri')",2,0,2,1.0
"('Ahri', 'Aphelios', 'Janna', 'Jayce', 'Kindred')",2,0,2,1.0
"('Graves', 'Jinx', 'Renekton', 'Taliyah', 'Thresh')",2,0,2,1.0
"('Hwei', 'Rakan', 'Rumble', 'Viego', 'Xayah')",2,0,2,1.0
"('Aphelios', 'Brand', ""K'Sante"", 'Rell', 'Tristana')",1,0,1,1.0
"('Akali', 'Jinx', 'Nasus', 'Tahm Kench', 'Viego')",1,0,1,1.0
"('Gnar', 'Lucian', 'Nami', 'Talon', 'Zac')",1,0,1,1.0
"('Ashe', 'Aurelion Sol', 'Darius', 'Rell', 'Viego')",1,0,1,1.0
"('Camille', 'Jhin', 'LeBlanc', 'Rell', 'Viego')",1,0,1,1.0
"('Hwei', 'Jax', 'Lee Sin', 'Soraka', 'Varus')",1,0,1,1.0
"('Bard', 'Caitlyn', 'Evelynn', 'Gwen', 'Tristana')",1,0,1,1.0
"('Jhin', ""K'Sante"", 'Lux', 'Master Yi', 'Rakan')",2,0,2,1.0
"('Ahri', 'Graves', 'Skarner', 'Taric', 'Varus')",2,0,2,1.0
"('Annie', 'Gragas', 'Lee Sin', 'Nautilus', 'Xayah')",1,0,1,1.0
"('Irelia', 'LeBlanc', 'Viego', 'Xayah', 'Zyra')",1,0,1,1.0
"('Akali', 'Hecarim', ""Kai'Sa"", 'Sona', 'Twisted Fate')",1,0,1,1.0
"('Akali', 'Ashe', 'Qiyana', 'Rengar', 'Seraphine')",1,0,1,1.0
"('Akshan', 'Aurelion Sol', 'Jinx', 'Kayn', 'Sona')",1,0,1,1.0
"('Akshan', 'Camille', 'Darius', 'Jinx', 'LeBlanc')",1,0,1,1.0
"('Gwen', 'Nautilus', 'Nidalee', 'Qiyana', 'Varus')",1,0,1,1.0
"(""Kai'Sa"", 'Karthus', 'Pyke', 'Skarner', 'Tristana')",1,0,1,1.0
"('Draven', 'Irelia', 'Jayce', 'Nautilus', 'Rumble')",1,0,1,1.0
"('Camille', 'Lucian', 'Nami', 'Syndra', 'Viego')",1,0,1,1.0
"('Blitzcrank', 'Master Yi', 'Neeko', 'Ornn', 'Tristana')",3,0,3,1.0
"('Braum', 'Hwei', ""Kha'Zix"", 'Twisted Fate', 'Varus')",1,0,1,1.0
"('Braum', 'Diana', 'Graves', 'Jinx', 'Pantheon')",1,0,1,1.0
"('Hwei', ""K'Sante"", 'Miss Fortune', 'Rumble', 'Viego')",1,0,1,1.0
"('Janna', ""Kai'Sa"", 'Nidalee', 'Pantheon', 'Yone')",2,0,2,1.0
"('Renekton', 'Rumble', 'Shaco', 'Talon', 'Varus')",1,0,1,1.0
"('Brand', 'Kennen', 'Leona', 'Vex', 'Viego')",2,0,2,1.0
"(""Kai'Sa"", 'Senna', 'Twisted Fate', 'Viktor', 'Warwick')",1,0,1,1.0
"('Ashe', 'Cassiopeia', 'Hecarim', 'LeBlanc', 'Nautilus')",1,0,1,1.0
"('Annie', 'Aphelios', 'Mordekaiser', ""Rek'Sai"", 'Tahm Kench')",1,0,1,1.0
"('Ashe', 'Gragas', 'Hwei', 'Sion', 'Varus')",1,0,1,1.0
"('Ashe', 'Lissandra', 'Poppy', 'Rakan', 'Viego')",2,0,2,1.0
"('Jinx', 'LeBlanc', ""Rek'Sai"", 'Rumble', 'Thresh')",1,0,1,1.0
"('Janna', 'Sett', 'Twisted Fate', 'Viego', 'Zac')",3,0,3,1.0
"('Cassiopeia', 'Kindred', 'Lulu', 'Rumble', 'Zeri')",1,0,1,1.0
"('Akshan', 'Alistar', 'Ekko', 'Samira', 'Skarner')",1,0,1,1.0
"('Caitlyn', ""K'Sante"", 'Lux', 'Twisted Fate', 'Viego')",1,0,1,1.0
"('Alistar', 'Graves', 'Jhin', 'Skarner', 'Twisted Fate')",1,0,1,1.0
"('Brand', 'Leona', 'Rumble', 'Tristana', 'Viego')",1,0,1,1.0
"('Ashe', 'Nidalee', 'Qiyana', 'Rell', 'Sion')",2,0,2,1.0
"('Heimerdinger', 'Jayce', 'Lissandra', 'Senna', 'Viego')",1,0,1,1.0
"('Ashe', 'Camille', 'Diana', 'Varus', 'Viego')",1,0,1,1.0
"('Darius', 'Ezreal', 'Karma', 'Nidalee', 'Tristana')",1,0,1,1.0
"('Jinx', 'Kled', 'Lee Sin', 'Lissandra', 'Lulu')",2,0,2,1.0
"('Jax', ""Kai'Sa"", 'Rell', 'Tristana', 'Twisted Fate')",1,0,1,1.0
"('Diana', 'Draven', 'Graves', 'Jax', 'Nautilus')",1,0,1,1.0
"('Diana', 'Gragas', 'Lucian', 'Master Yi', 'Thresh')",1,0,1,1.0
"('Ahri', 'Sona', 'Volibear', 'Xin Zhao', 'Zeri')",1,0,1,1.0
"('Ashe', 'Nautilus', 'Taliyah', 'Teemo', 'Tristana')",1,0,1,1.0
"('Ahri', 'Jax', 'Jinx', 'Skarner', 'Thresh')",1,0,1,1.0
"(""Cho'Gath"", 'Irelia', 'Nautilus', 'Rengar', 'Tristana')",1,0,1,1.0
"('Hecarim', ""Kai'Sa"", 'Sona', 'Vex', 'Volibear')",1,0,1,1.0
"('Bard', ""Kha'Zix"", 'LeBlanc', 'Skarner', 'Varus')",1,0,1,1.0
"('Ahri', 'Ashe', 'Illaoi', ""Kha'Zix"", 'Shaco')",1,0,1,1.0
"('Cassiopeia', 'Ezreal', ""Kha'Zix"", 'Poppy', 'Rumble')",1,0,1,1.0
"('Aatrox', 'Irelia', 'Lillia', 'Pyke', 'Smolder')",1,0,1,1.0
"('Ahri', 'Ashe', ""Bel'Veth"", 'Renata Glasc', 'Skarner')",1,0,1,1.0
"(""Bel'Veth"", 'Nautilus', 'Nocturne', 'Orianna', 'Samira')",1,0,1,1.0
"('Ashe', ""Bel'Veth"", 'Diana', 'Fiora', 'Nautilus')",1,0,1,1.0
"('Ashe', ""Bel'Veth"", 'Kennen', 'Lulu', 'Yone')",1,0,1,1.0
"('Aurelion Sol', ""Bel'Veth"", 'Skarner', 'Sona', 'Zeri')",1,0,1,1.0
"('Ezreal', 'Hecarim', 'Heimerdinger', 'Lissandra', 'Senna')",1,0,1,1.0
"('Blitzcrank', 'Kalista', ""Kha'Zix"", 'Mordekaiser', 'Tryndamere')",1,0,1,1.0
